address,iban,zrnr,timezone,random_number,country,pricetag,file_name,language_code,language_name,mac_address,company,time,bank_country,hostname
"Darko-Schuster-Platz 2/6
74613 Göttingen",DE07535179954235928010,JB-0257-1085-BANK,Asia/Riyadh,2738031,Kasachstan,"83,59 €",unten.gif,br,Chuvash,b4:3d:8a:dd:0a:54,Zänker GmbH & Co. KGaA,10:21:03,DE,lt-95.holzapfel.de
"Jesselallee 15
67463 Pinneberg",DE76845492588880178956,JB-0976-4058-BANK,America/Asuncion,983091964,Tokelau,"17.181,55 €",Zimmer.webm,lb,Interlingua,02:cd:30:72:95:e3,Seifert,06:48:07,DE,web-13.conradi.com
"Rohtplatz 6
67489 Grimmen",DE12530117266964492343,JB-1983-3218-BANK,Asia/Muscat,32,Malaysia,"58.127,45 €",Ball.avi,sat,Romansh,03:28:51:b7:cf:02,Ernst Stiftung & Co. KG,00:37:18,DE,email-90.kreusel.de
"Kurt-Rohleder-Gasse 062
07406 Eisleben",DE53419212167110136579,JB-2912-4210-BANK,America/Guatemala,511857,Komoren,"48.022,68 €",Pferd.txt,lg,Tahitian,dc:6f:c9:fc:40:1f,Knappe,00:17:28,DE,srv-77.ritter.com
"Rita-Trüb-Allee 35
34855 Sonneberg",DE82369290897651973606,JB-4279-4257-BANK,Europe/Oslo,111,St. Lucia,"774,99 €",Uhr.js,be,Gaelic,dc:8a:58:68:1c:ad,Ebert Herrmann AG,16:31:18,DE,db-91.bluemel.org
"Francesca-Peukert-Platz 9
56781 Gelnhausen",DE20957699378334683290,JB-2686-5997-BANK,Asia/Baku,52763662,Lettland,"332,14 €",Sohn.flac,oc,Chamorro,2f:41:0b:e0:8d:5e,Gorlitz AG,02:11:22,DE,lt-39.holsten.com
"Guiseppe-Juncken-Straße 5
45297 Greifswald",DE91312069641258493244,JB-2791-3099-BANK,Europe/Malta,9,Andorra,"87.145,80 €",heraus.webm,pap,Danish,8c:c4:02:fa:fd:d3,Hahn GmbH,07:22:06,DE,web-36.eigenwillig.de
"Stefan-Trubin-Platz 472
63611 Zerbst",DE69061311518952538516,JB-2969-5439-BANK,Europe/Copenhagen,866,Jersey,"73.149,68 €",leben.html,be,Avestan,b0:23:1d:fa:d2:4f,Schomber GmbH & Co. KG,13:29:24,DE,desktop-30.eimer.com
"Rebecca-Langern-Allee 6
12845 Vilsbiburg",DE60299960721476824672,JB-2205-3631-BANK,Pacific/Tongatapu,157134,Nördliche Marianen,"1.746,55 €",Baum.wav,zh,Somali,59:f2:25:c6:c8:3a,Schuster,22:35:12,DE,db-31.keudel.com
"Benderring 79
62001 Zerbst",DE62032954658736294596,JB-2181-1940-BANK,Africa/Porto-Novo,184008,Ukraine,"927,80 €",wird.png,ga,Tatar,d3:34:b6:85:02:23,Schleich GmbH,05:55:31,DE,db-44.nette.de
"Benno-Sontag-Gasse 977
26162 Miltenberg",DE26395503365567187847,JB-3585-0409-BANK,Africa/Tunis,4,Vanuatu,"6.757,47 €",Ball.css,ber,Czech,dc:c9:2a:24:0e:bf,Krein AG,18:27:20,DE,srv-13.junken.de
"Warmergasse 738
22495 Rudolstadt",DE49787593793696329909,JB-0584-2784-BANK,Asia/Bishkek,74382,Ghana,"39.851,27 €",neun.html,fil,Chichewa,2a:37:4c:0b:19:9e,Zimmer Werner OHG mbH,02:58:13,DE,db-29.doering.de
"Tröstring 178
52463 Flöha",DE92161247573871511705,JB-5532-2034-BANK,Asia/Qatar,3318116,Belgien,"3.485,80 €",Junge.jpg,cmn,Sichuan Yi,29:d8:f6:d9:ef:d4,Hendriks,03:31:04,DE,srv-20.holzapfel.net
"Täscheplatz 614
71531 Pritzwalk",DE48890521142007863456,JB-6860-7290-BANK,America/St_Kitts,149681678,Gabun,"1.842,93 €",nach.css,st,Bulgarian,b7:8e:52:0f:88:ce,Mälzer GbR,07:55:53,DE,srv-94.otto.de
"Eimerweg 1/5
72782 Malchin",DE81973914200232990995,JB-2334-7148-BANK,America/Montevideo,617743,Seychellen,"3.715,78 €",hängen.mp4,ff,Venda,78:3f:25:1e:4f:84,Finke Peukert GbR,07:08:34,DE,web-00.troest.com
"Paula-Walter-Ring 275
28549 Wolfach",DE88824479492859692834,JB-6252-3484-BANK,Africa/Nouakchott,8,Thailand,"9,97 €",um.json,crh,Telugu,e5:62:d9:b5:4f:28,Hornig Pruschke KG,15:23:02,DE,srv-79.schacht.net
"Ullrichweg 825
58992 Tirschenreuth",DE20458187746852744326,JB-3382-7017-BANK,Africa/Nairobi,67605,Kap Verde,"72,63 €",Kind.png,zh,Burmese,e7:f2:87:13:7c:be,Schaaf,23:46:29,DE,lt-44.drubin.org
"Zorbachweg 379
59085 Bad Brückenau",DE17319403204945830830,JB-2574-2598-BANK,Asia/Saigon,912612,Luxemburg,"2,81 €",fangen.avi,ja,Guarani,3c:e0:90:46:d6:06,Dehmel,01:22:56,DE,db-83.schuchhardt.de
"Nadja-Fechner-Straße 2/3
74135 Cuxhaven",DE90272912425524121237,JB-6629-4535-BANK,Europe/Podgorica,72006,Kolumbien,"6,93 €",zeigen.docx,lij,Georgian,fe:1f:c0:11:57:87,Vollbrecht,00:24:33,DE,email-49.butte.com
"Rolf-Pölitz-Straße 66
54644 Bischofswerda",DE10525757280885409978,JB-1687-0784-BANK,Europe/Bratislava,4397,Weihnachtsinsel,"93,68 €",schwer.js,wal,Hindi,64:b0:bc:a1:43:40,Vogt,19:03:02,DE,laptop-58.etzler.com
"Gorlitzstraße 10
50094 Zschopau",DE14336050971819969332,JB-7518-1675-BANK,Europe/Helsinki,159,Vereinigte Staaten,"4,83 €",sonst.txt,uz,Greek,16:20:fc:89:1b:d1,Austermühle,07:14:59,DE,srv-47.preiss.net
"Bergerstr. 01
39629 Luckenwalde",DE80892377026700802164,JB-5014-2948-BANK,Asia/Qatar,602,Weihnachtsinsel,"427,54 €",am.mp3,shs,Oriya,5e:12:e7:b5:77:8d,Scheibe Jungfer e.G.,16:42:30,DE,srv-64.wulf.de
"Strohweg 91
22590 Nürtingen",DE11772322050451070078,JB-2038-6418-BANK,Europe/San_Marino,836797423,Aserbaidschan,"24.377,13 €",will.html,ti,Bihari languages,4f:63:c4:63:f7:f3,Reinhardt AG,15:54:40,DE,db-32.suessebier.de
"Emanuel-Schacht-Ring 5
97315 Forst",DE85907682759410286676,JB-0656-2529-BANK,Africa/Sao_Tome,209904311,Gibraltar,"6,51 €",Sonntag.flac,bn,Marathi,36:10:28:ec:44:fd,Schinke Liebelt GmbH,10:33:56,DE,lt-96.schmidtke.com
"Nils-Matthäi-Weg 254
87687 Kelheim",DE76691735035663780494,JB-2939-7129-BANK,Asia/Colombo,60,Thailand,"8,31 €",natürlich.js,brx,Serbian,84:f6:fa:dc:b8:41,Losekann,08:04:14,DE,lt-38.van.de
"Kobeltgasse 9/4
71706 Demmin",DE42814980385509250791,JB-5697-1936-BANK,Indian/Mahe,1315,Österreich,"11.301,70 €",unser.csv,ve,Abkhazian,18:45:f6:8a:a7:18,Riehl,04:02:26,DE,desktop-92.koehler.com
"Misichergasse 789
44507 Eisleben",DE74808520740996970431,JB-4590-4689-BANK,Pacific/Nauru,563,Madagaskar,"68,58 €",es.js,cy,Georgian,bf:05:00:2a:9b:f3,Haase,01:44:12,DE,desktop-62.baum.com
"Guido-Spieß-Straße 7
05298 Staßfurt",DE46462810468150387078,JB-6489-4239-BANK,Europe/Budapest,551932587,Chile,"99.828,06 €",halbe.csv,it,Maori,6f:72:74:3b:71:fe,Hertrampf Reuter AG & Co. KGaA,14:27:35,DE,db-11.pergande.de
"Ackermannallee 41
61951 Altentreptow",DE33749116889852198804,JB-1539-1614-BANK,America/Guyana,206,Laos,"2,89 €",Junge.html,szl,German,d8:6a:e6:5a:16:94,Jacob,09:34:29,DE,srv-05.eimer.net
"Bauerallee 0
50636 Zeulenroda",DE96167437728410446572,JB-0206-0560-BANK,Africa/Lusaka,1303040,Iran,"69.226,53 €",daran.avi,ti,Burmese,84:b8:d6:85:4b:83,Carsten,19:14:12,DE,db-66.schomber.net
"Eberthallee 4
48234 Wesel",DE13097102089355072331,JB-5093-0232-BANK,Europe/Budapest,38120,Litauen,"1,61 €",nass.wav,fr,Maltese,aa:d0:29:df:74:7e,Keudel,09:13:55,DE,email-39.eimer.com
"Birgitt-Vogt-Weg 287
77199 Lüdenscheid",DE58639100816672246269,JB-3501-3707-BANK,Europe/Bratislava,8,Tokelau,"59,19 €",scheinen.png,bn,Bihari languages,ff:f1:06:15:f0:2f,Stiffel AG & Co. KG,18:19:27,DE,db-00.anders.org
"Britta-Boucsein-Straße 44
95544 Havelberg",DE30069450603364016438,JB-3382-4144-BANK,Asia/Pontianak,39345,Tokelau,"3,74 €",Fisch.avi,ts,Slovenian,4f:76:2a:5e:7f:71,Roht,23:16:29,DE,srv-15.klotz.org
"Vollbrechtplatz 06
05057 Main-Höchst",DE29517694864769179142,JB-1970-7550-BANK,Asia/Baku,48,Südafrika,"8,78 €",Tag.key,cs,Malayalam,47:96:24:ac:95:49,Pärtzelt Seip Stiftung & Co. KGaA,10:27:57,DE,db-04.weimer.com
"Ernstweg 6
73383 Sankt Goarshausen",DE74580941048732952564,JB-0945-3992-BANK,Pacific/Fiji,137171081,Nicaragua,"4,59 €",werfen.html,yo,Burmese,72:cc:36:3d:a2:8b,Schleich AG,15:01:14,DE,srv-30.graf.com
"Schottinring 79
91345 Ansbach",DE38588243448906579029,JB-4413-7193-BANK,Asia/Qatar,11756944,Mikronesien,"25.348,26 €",Schluss.txt,doi,Oriya,99:07:62:cc:a6:5e,Junk GmbH,11:42:40,DE,srv-82.fischer.net
